Entered DemOn,URN,Day,Month,Year,Site code,County code,Cap time,Ring no,Type,Age,Sex,Plum,Wing ini,Wing,Wing Pt,Tars (& toe),Bill,THL,Wht,Time,Moult,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Scheme,Ring No,Age (days),Code,LA,LB,RA,RB,Comments
,151,03,08,2021,Sandringham,GBNOR,,FA95552,R,3,,,JAC,260,,129,90.8,140.0,608.0,1758,,,,,,,,,,,,,,,4T,,,,,
,152,10,08,2021,Ken Hill,GBNOR,,FA95564,R,3,,,LTP,261,,137,82.5,130.5,662.0,0937,,,,,,,,,,,,,,54,5N,,,,,
,153,10,08,2021,Ken Hill,GBNOR,,FA95578,R,3,,,LTP,257,,137,87.5,130.0,628.0,0946,,,,,,,,,,,,,,53,6N,,,,,
Y,154,10,08,2021,Ken Hill,GBNOR,,FA95581,H,3,,,LTP,287,,132,93.0,141.0,629.0,0950,,,,,,,,,,,,,,56,6U,YFN(6U)O,,Y,M,
,155,10,08,2021,Ken Hill,GBNOR,,FA95575,R,3,,,LTP,261,,135,87.0,133.0,574.0,0956,,,,,,,,,,,,,,54,6J,,,,,
,156,10,08,2021,Ken Hill,GBNOR,,FA95569,R,3,,,LTP,256,,136,83.5,126.5,640.0,0958,,,,,,,,,,,,,,51,5X,,,,,
,157,10,08,2021,Ken Hill,GBNOR,,FA95567,R,3,,,LTP,253,,126,83.0,125.0,540.0,1011,,,,,,,,,,,,,,55,5U,,,,,
,158,10,08,2021,Ken Hill,GBNOR,,FA95571,R,3,,,SEF,263,,131,88.5,133.0,597.0,1026,,,,,,,,,,,,,,51,6A,,,,,
,159,10,08,2021,Ken Hill,GBNOR,,FA95565,R,3,,,SEF,275,,137,92.5,137.5,598.0,1030,,,,,,,,,,,,,,54,5P,,,,,
,160,10,08,2021,Ken Hill,GBNOR,,FA95566,R,3,,,SEF,275,,135,89.5,133.5,574.0,1034,,,,,,,,,,,,,,55,5T,,,,,
,161,10,08,2021,Ken Hill,GBNOR,,FA95570,R,3,,,CK,259,,141,86.0,127.5,592.0,1038,,,,,,,,,,,,,,52,5Y,,,,,
,162,10,08,2021,Ken Hill,GBNOR,,FA95577,R,3,,,CK,263,,134,88.0,131.0,610.0,1051,,,,,,,,,,,,,,51,6L,,,,,
,163,10,08,2021,Ken Hill,GBNOR,,FA95580,R,3,,,CK,233,,120,66.5,106.5,508.0,1107,,,,,,,,,,,,,,51,6T,,,,,
,164,10,08,2021,Ken Hill,GBNOR,,FA95568,R,3,,,CK,279,,135,94.5,137.5,605.0,1113,,,,,,,,,,,,,,55,5V,,,,,
